Team,W
DEN,16
BOS,11
LAL,8
MIA,13
NYK,6
GSW,6
PHI,7
SAC,3
PHO,6
MIL,1
ATL,2
CLE,1
LAC,1
MEM,2
MIN,1
BKN,0
CHI,0
NOP,0
OKC,0
TOR,0
