Team,W
GSW,16
MIA,11
BOS,14
MEM,6
MIL,7
DAL,9
PHI,6
PHO,7
NOP,2
BRK,0
MIN,2
UTA,2
DEN,1
TOR,2
ATL,1
CHI,1
